transaction_id,account_id,transaction_type,amount,transaction_date,method
71,842,Deposit,83449.69,14-07-2025 13:32,NEFT
72,839,Deposit,134450.89,24-06-2025 12:12,NEFT
73,59,Withdrawal,149892.03,10-09-2024 17:30,IMPS
74,752,Deposit,18715.94,09-10-2024 14:03,IMPS
75,64,Withdrawal,73777.03,18-08-2024 02:08,Cash
76,327,Deposit,151712.55,27-09-2024 22:42,UPI
77,1048,Withdrawal,94216.29,17-04-2025 10:49,UPI
78,234,Transfer,171895.65,29-08-2024 07:14,IMPS
79,1435,Transfer,82810.21,06-09-2025 00:40,NEFT
80,1257,Transfer,41889.29,08-07-2024 08:20,UPI
81,331,Deposit,114316.28,26-07-2025 19:37,UPI
82,49,Withdrawal,144842.42,12-11-2023 12:09,IMPS
83,1209,Withdrawal,121808.04,11-03-2024 06:05,IMPS
84,1213,Withdrawal,105125.71,16-10-2024 13:44,IMPS
85,1408,Deposit,122896.57,01-10-2024 06:09,Cash
86,1299,Transfer,145864.03,19-09-2024 02:10,Cash
87,170,Withdrawal,161615.27,14-02-2025 21:09,NEFT
88,852,Transfer,58168.56,22-11-2023 12:25,NEFT
89,1155,Deposit,23729.61,02-01-2024 04:02,Cash
90,928,Transfer,159366.84,29-05-2025 14:44,NEFT
91,1277,Transfer,199797.5,07-03-2024 15:20,Cash
92,1489,Deposit,66825.07,07-01-2025 04:37,NEFT
93,747,Deposit,128159.6,14-11-2024 06:25,IMPS
94,344,Withdrawal,158060.08,28-11-2023 09:30,IMPS
95,36,Withdrawal,101387.26,11-11-2024 03:35,IMPS
96,548,Deposit,22855.97,12-12-2024 18:51,IMPS
97,108,Withdrawal,79270.26,15-03-2024 12:02,UPI
98,138,Deposit,38883.71,13-01-2025 14:27,IMPS
99,746,Transfer,95873.74,12-09-2024 16:25,Cash
100,748,Deposit,129165.88,04-02-2025 17:43,Cash
101,1247,Deposit,125477.38,30-01-2025 00:29,IMPS
102,987,Withdrawal,156819.41,06-06-2025 10:02,Cash
103,876,Transfer,11298.85,26-01-2024 23:31,IMPS
104,1131,Transfer,145020.33,26-10-2023 12:53,IMPS
105,255,Transfer,107223.51,26-04-2024 20:31,NEFT
106,57,Transfer,137130.11,21-10-2024 16:21,IMPS
107,643,Deposit,193925.7,28-09-2024 06:44,IMPS
108,1297,Deposit,67896.57,16-03-2024 18:12,Cash
109,625,Transfer,106901.21,24-10-2023 07:06,NEFT
110,1177,Transfer,121177.25,24-04-2024 15:53,NEFT
111,1434,Transfer,23457.24,30-06-2024 17:17,IMPS
112,1434,Transfer,171578.11,23-12-2023 22:31,UPI
113,1439,Withdrawal,82832.53,23-12-2024 00:19,Cash
114,652,Deposit,74379.56,07-04-2024 13:48,IMPS
115,781,Deposit,105067.57,28-05-2024 23:21,NEFT
116,1156,Deposit,74905.72,15-06-2024 10:44,UPI
117,1367,Deposit,182679.43,20-04-2025 08:03,Cash
118,329,Transfer,5084.46,17-10-2024 11:55,Cash
119,450,Transfer,30900.15,07-08-2024 12:03,IMPS
120,90,Withdrawal,146514.97,15-09-2025 00:18,IMPS
121,1084,Withdrawal,28744.68,24-10-2024 02:38,UPI
122,333,Transfer,135375.79,13-06-2025 02:28,NEFT
123,596,Deposit,144941.67,29-06-2025 01:31,Cash
124,1378,Withdrawal,142764.11,28-11-2023 18:15,UPI
125,460,Deposit,62265.17,06-02-2025 06:35,UPI
126,1379,Transfer,169639.99,18-04-2025 05:21,UPI
127,1209,Withdrawal,93428.49,30-05-2025 00:39,UPI
128,759,Deposit,104163.48,12-09-2024 12:11,IMPS
129,71,Deposit,115554.21,28-06-2025 11:47,IMPS
130,541,Transfer,178437.9,08-04-2025 15:05,IMPS
131,236,Deposit,38589.87,15-03-2024 14:39,IMPS
132,618,Transfer,63898.04,29-04-2024 00:59,Cash
133,1356,Transfer,23618.4,21-12-2023 06:23,NEFT
134,735,Deposit,54800.01,15-11-2024 10:29,UPI
135,1351,Transfer,111969.19,28-11-2024 14:49,UPI
136,1434,Deposit,108551.49,22-08-2025 06:33,IMPS
137,16,Withdrawal,28397.21,09-03-2025 15:31,IMPS
138,560,Transfer,49040.53,17-10-2023 21:59,UPI
139,1202,Withdrawal,122691.25,15-10-2024 10:20,IMPS
140,1174,Transfer,88785.16,16-12-2024 15:39,NEFT
141,810,Deposit,94200.04,15-02-2025 16:31,UPI
142,1403,Deposit,76781.57,01-08-2024 22:47,UPI
143,103,Withdrawal,78444.16,21-05-2025 02:10,Cash
144,563,Transfer,71189.3,23-05-2024 05:39,IMPS
145,756,Deposit,142608.45,11-04-2025 12:28,UPI
146,1403,Withdrawal,113601.08,03-03-2025 05:37,UPI
147,371,Transfer,93708.35,25-10-2023 05:45,Cash
148,1286,Withdrawal,136927.15,03-04-2024 17:45,Cash
149,1114,Withdrawal,46415.67,22-01-2025 15:43,NEFT
150,492,Deposit,172233.15,28-01-2025 07:51,IMPS
151,1038,Withdrawal,78476.18,02-06-2025 21:44,IMPS
152,754,Withdrawal,90711.29,16-12-2023 04:44,UPI
153,538,Deposit,95119.34,20-06-2024 07:18,IMPS
154,375,Withdrawal,92302.21,04-08-2025 19:56,NEFT
155,1227,Withdrawal,153611.51,04-10-2024 10:09,NEFT
156,735,Transfer,20676.15,10-06-2025 06:48,UPI
157,1138,Withdrawal,111274.36,28-05-2024 21:44,UPI
158,88,Withdrawal,106595.84,24-10-2024 06:14,Cash
159,260,Transfer,82747.04,07-06-2024 13:52,NEFT
160,1155,Transfer,31888.16,17-01-2025 13:23,Cash
161,380,Withdrawal,13305.38,20-02-2024 19:28,NEFT
162,788,Transfer,118234.94,28-08-2025 18:06,Cash
163,565,Transfer,157486.62,08-12-2024 21:01,NEFT
164,1377,Deposit,132556.19,15-12-2023 11:57,UPI
165,363,Transfer,186179.57,12-05-2025 01:24,Cash
166,1117,Deposit,118473.41,16-11-2024 01:04,Cash
167,1216,Withdrawal,111062.03,31-01-2025 08:09,Cash
168,981,Deposit,61676.34,02-06-2024 19:00,Cash
169,259,Deposit,119692.01,27-03-2024 07:45,Cash
170,1147,Withdrawal,98909.6,19-02-2025 01:41,UPI
171,373,Deposit,43600.59,24-07-2024 01:29,NEFT
172,229,Transfer,180660.88,05-04-2025 14:24,UPI
173,1439,Deposit,132210.19,11-01-2024 00:51,Cash
174,564,Transfer,58371.5,19-10-2023 17:44,Cash
175,1371,Deposit,41211.77,01-07-2024 01:41,IMPS
176,1476,Withdrawal,114098.25,23-08-2025 14:13,IMPS
177,1060,Withdrawal,143586.47,27-04-2024 18:45,IMPS
178,598,Deposit,116587.12,27-06-2025 16:01,Cash
179,1123,Deposit,170515.79,18-05-2024 13:12,UPI
180,1389,Withdrawal,180225.03,02-01-2025 21:42,UPI
181,993,Deposit,140700.49,19-02-2024 15:39,IMPS
182,1013,Deposit,172263.44,12-05-2025 00:57,UPI
183,685,Deposit,86399.93,25-03-2024 01:55,Cash
184,341,Transfer,63693.65,20-12-2024 08:56,Cash
185,627,Withdrawal,76374.85,13-02-2024 00:57,NEFT
186,734,Transfer,34764.68,06-09-2024 03:35,NEFT
187,630,Deposit,111128.77,26-11-2023 03:55,IMPS
188,536,Withdrawal,30938.03,28-02-2025 20:31,NEFT
189,1091,Deposit,2419.39,04-12-2024 20:20,UPI
190,70,Deposit,144295.71,26-05-2024 17:34,Cash
191,1405,Transfer,87403.35,06-04-2024 14:30,NEFT
192,1072,Deposit,27530.33,18-10-2023 06:51,Cash
193,42,Withdrawal,178727.14,08-08-2024 00:54,Cash
194,446,Transfer,36041.5,19-03-2024 03:36,Cash
195,138,Transfer,164032.28,29-10-2024 08:35,Cash
196,1428,Withdrawal,45225.61,25-05-2024 00:48,Cash
197,559,Transfer,1585.26,13-07-2025 08:36,Cash
198,590,Transfer,47426.32,15-08-2024 17:25,IMPS
199,1055,Withdrawal,185320.23,20-08-2025 09:23,IMPS
200,901,Deposit,195648.87,12-09-2024 09:14,Cash
201,1236,Transfer,73778.86,30-09-2023 16:22,Cash
202,1421,Transfer,16104.61,11-01-2024 02:02,IMPS
203,624,Withdrawal,103438.22,05-11-2023 11:55,UPI
204,663,Deposit,94543.07,20-04-2025 00:55,UPI
205,1422,Transfer,126774.16,21-09-2024 20:11,IMPS
206,706,Transfer,10649.58,29-01-2025 06:20,IMPS
207,1017,Transfer,155727.57,21-11-2023 03:44,Cash
208,1239,Withdrawal,102581.36,12-05-2025 10:40,Cash
209,208,Transfer,146789.53,25-06-2024 23:00,Cash
210,1235,Withdrawal,192120.2,24-02-2024 07:37,IMPS
211,1351,Withdrawal,33584.88,14-09-2024 08:46,IMPS
212,507,Transfer,157025.81,01-12-2024 06:14,IMPS
213,705,Deposit,125897.08,15-02-2025 05:30,NEFT
214,1161,Transfer,10418.81,27-04-2024 22:04,IMPS
215,963,Transfer,124900.97,15-02-2024 12:48,IMPS
216,1378,Withdrawal,16593.78,05-11-2023 23:36,UPI
217,859,Withdrawal,50484.99,10-03-2025 13:44,IMPS
218,305,Withdrawal,171585.89,19-08-2025 13:17,UPI
219,282,Transfer,22398.73,19-06-2024 03:53,NEFT
220,271,Transfer,147819.55,29-06-2024 00:11,Cash
221,474,Withdrawal,161587.35,07-03-2025 04:48,IMPS
222,778,Transfer,47315.56,09-02-2025 03:11,NEFT
223,1437,Transfer,172416.68,20-06-2024 14:53,IMPS
224,1359,Deposit,193472.39,04-04-2025 14:05,NEFT
225,360,Withdrawal,150576.98,11-06-2024 13:24,Cash
226,52,Withdrawal,47665.69,03-05-2025 03:35,Cash
227,1430,Transfer,127551.18,12-03-2024 06:28,NEFT
228,94,Transfer,146898.79,28-02-2025 11:09,IMPS
229,1428,Deposit,128487.99,29-05-2024 09:08,UPI
230,692,Deposit,33603.32,18-04-2024 12:02,Cash
231,425,Withdrawal,60343.29,30-04-2024 11:46,NEFT
232,74,Withdrawal,136733.64,20-09-2025 21:33,Cash
233,210,Withdrawal,52598.77,05-05-2025 21:56,Cash
234,1449,Deposit,57829.57,14-07-2025 21:29,Cash
235,1354,Withdrawal,135730.83,22-10-2023 02:28,UPI
236,1232,Deposit,183550.66,07-09-2024 19:03,IMPS
237,1395,Withdrawal,122136.07,05-05-2025 13:04,IMPS
238,1007,Withdrawal,54138.19,22-09-2025 12:36,UPI
239,1246,Withdrawal,130903.22,06-09-2025 11:17,Cash
240,1337,Withdrawal,154652.89,29-10-2024 00:52,NEFT
241,103,Transfer,134410.78,27-03-2025 05:06,NEFT
242,218,Transfer,67547.58,28-12-2024 02:28,NEFT
243,547,Withdrawal,109567.75,03-03-2025 09:16,UPI
244,11,Deposit,2491.09,10-08-2024 01:24,UPI
245,1160,Transfer,20871.07,12-09-2024 08:14,Cash
246,446,Withdrawal,43961.32,21-09-2024 15:01,IMPS
247,1362,Withdrawal,38696.6,19-03-2025 16:58,UPI
248,1441,Transfer,18479.06,19-10-2024 02:01,NEFT
249,458,Transfer,127652.77,03-08-2025 09:32,UPI
250,265,Deposit,171302.52,05-11-2024 09:41,NEFT
251,914,Withdrawal,131313.29,15-11-2024 01:05,NEFT
252,52,Deposit,139161.16,08-06-2025 10:44,IMPS
253,576,Withdrawal,93444.42,23-12-2024 16:53,UPI
254,1208,Transfer,90743.41,13-09-2025 06:06,IMPS
255,212,Withdrawal,138475.08,05-08-2025 02:33,IMPS
256,329,Withdrawal,32477.01,30-01-2024 02:11,UPI
257,249,Withdrawal,155443.48,05-02-2025 14:37,Cash
258,1422,Withdrawal,66597.68,02-04-2025 02:47,UPI
259,159,Withdrawal,191125.58,21-08-2025 05:33,IMPS
260,1008,Deposit,88170.91,13-04-2025 01:50,Cash
261,328,Deposit,122099.35,07-01-2024 07:40,NEFT
262,1115,Transfer,98462.25,05-06-2025 18:40,NEFT
263,15,Transfer,153764.59,15-12-2023 08:25,NEFT
264,384,Transfer,128703.3,08-05-2025 05:13,Cash
265,1273,Transfer,51873.35,11-09-2025 14:13,UPI
266,1481,Deposit,14175.42,18-10-2023 10:20,IMPS
267,1189,Withdrawal,3851.08,21-04-2025 02:45,Cash
268,566,Deposit,130607.78,24-10-2023 04:34,UPI
269,140,Deposit,132954.71,11-09-2024 22:54,IMPS
270,80,Deposit,140041.03,21-05-2025 16:27,Cash
271,1349,Transfer,840.38,10-01-2024 17:56,Cash
272,1182,Withdrawal,87267.93,04-03-2025 15:11,UPI
273,926,Transfer,45246.78,22-02-2025 11:53,Cash
274,942,Transfer,163613.53,01-10-2023 05:43,Cash
275,1283,Deposit,113492.05,12-09-2025 00:59,IMPS
276,1160,Withdrawal,136398.96,26-04-2024 11:09,Cash
277,59,Deposit,126491.28,10-10-2023 23:01,UPI
278,949,Withdrawal,106971.8,13-05-2025 10:54,IMPS
279,1448,Deposit,168252.2,03-05-2025 09:50,IMPS
280,272,Transfer,40703.78,16-01-2025 13:47,UPI
281,595,Withdrawal,132180.74,22-05-2024 04:37,IMPS
282,1082,Transfer,78081.93,12-10-2024 05:08,UPI
283,213,Transfer,137799.63,06-05-2025 07:08,Cash
284,1194,Deposit,177054.31,15-11-2023 23:44,Cash
285,5,Transfer,37973.95,30-12-2023 01:31,UPI
286,1294,Deposit,5170.38,23-05-2025 18:08,NEFT
287,258,Withdrawal,77814.63,06-02-2024 02:48,IMPS
288,110,Withdrawal,106834.62,10-05-2024 07:12,Cash
289,1005,Deposit,7504.83,01-08-2024 18:55,UPI
290,5,Withdrawal,157576.93,15-12-2023 04:38,UPI
291,1123,Withdrawal,23725.6,11-03-2025 13:57,Cash
292,1020,Transfer,174052.99,02-09-2024 16:21,NEFT
293,1257,Transfer,115911.21,05-07-2024 05:41,UPI
294,28,Deposit,147118.4,24-02-2025 12:01,Cash
295,212,Transfer,3910.7,10-10-2024 02:38,UPI
296,982,Deposit,140289.23,14-11-2024 13:18,NEFT
297,1473,Deposit,34532.58,15-03-2025 06:50,UPI
298,931,Withdrawal,164165.77,06-10-2023 06:25,UPI
299,1159,Withdrawal,122284.06,17-08-2025 08:40,UPI
300,203,Deposit,22924.52,28-04-2024 05:13,NEFT
301,440,Deposit,160910.26,06-12-2023 17:58,Cash
302,1295,Withdrawal,162323.05,13-08-2025 15:32,Cash
303,1483,Withdrawal,24248.41,11-10-2023 23:39,NEFT
304,137,Withdrawal,167301.78,16-03-2025 05:19,NEFT
305,624,Deposit,118657.74,22-05-2024 09:38,IMPS
306,871,Deposit,24237.02,25-11-2024 20:18,NEFT
307,1388,Withdrawal,33693.37,21-08-2024 04:47,IMPS
308,803,Transfer,33084.72,06-08-2024 16:46,NEFT
309,679,Transfer,8235.71,03-10-2024 15:48,UPI
310,904,Transfer,122527.06,26-11-2023 16:23,NEFT
311,455,Deposit,175937.43,02-11-2024 10:32,UPI
312,1268,Deposit,1544.08,14-08-2024 03:26,UPI
313,556,Transfer,130385.98,10-04-2024 20:05,IMPS
314,745,Withdrawal,138731.36,23-04-2024 12:07,Cash
315,116,Transfer,25465.79,17-01-2024 19:31,NEFT
316,767,Transfer,54262.85,25-08-2024 18:24,Cash
317,1493,Withdrawal,47926.83,31-12-2023 01:31,NEFT
318,1252,Transfer,138365.55,13-05-2025 21:23,NEFT
319,88,Transfer,100027.54,08-05-2024 04:52,UPI
320,984,Transfer,165314.07,14-05-2024 15:07,IMPS
321,867,Withdrawal,83815.3,24-06-2025 22:32,NEFT
322,873,Deposit,23589.81,14-10-2024 14:27,UPI
323,173,Transfer,72444.07,09-11-2023 04:29,NEFT
324,1461,Withdrawal,154089.22,17-03-2025 12:02,NEFT
325,1209,Withdrawal,10708.5,12-04-2024 02:50,UPI
326,459,Deposit,137080.23,04-12-2024 09:20,Cash
327,1141,Withdrawal,35347.13,23-11-2024 06:04,UPI
328,826,Deposit,129007.68,11-08-2024 00:40,IMPS
329,8,Deposit,86990.86,23-09-2024 04:57,IMPS
330,1008,Transfer,161050.22,26-11-2023 22:49,Cash
331,678,Deposit,20973.78,22-12-2023 10:33,UPI
332,26,Transfer,35259.93,10-06-2025 13:16,UPI
333,250,Withdrawal,103029.25,06-10-2023 07:19,UPI
334,1019,Deposit,144308.48,24-12-2023 08:58,IMPS
335,311,Withdrawal,39830.4,18-10-2024 02:38,IMPS
336,1427,Deposit,155817.16,17-09-2024 21:35,IMPS
337,1020,Deposit,19703.02,20-09-2024 05:47,Cash
338,282,Deposit,75168.92,20-05-2025 21:06,NEFT
339,30,Deposit,94250.95,04-10-2023 20:02,Cash
340,750,Deposit,178108.72,21-03-2024 12:01,NEFT
341,1196,Deposit,185584.63,30-03-2024 05:52,Cash
342,759,Deposit,77527.33,24-01-2024 02:25,NEFT
343,141,Withdrawal,143992.26,03-06-2024 13:50,IMPS
344,1133,Withdrawal,40521.96,17-09-2024 22:40,NEFT
345,1407,Deposit,138472.88,19-05-2025 07:16,UPI
346,54,Withdrawal,27386.65,30-10-2023 15:26,Cash
347,1330,Withdrawal,83702.94,15-03-2025 08:28,IMPS
348,500,Deposit,177293.15,02-05-2024 16:54,NEFT
349,202,Transfer,190556.75,17-02-2025 11:15,NEFT
350,248,Transfer,194030.15,09-05-2024 07:12,NEFT
351,1018,Deposit,82398.06,16-03-2024 05:14,Cash
352,975,Deposit,118357.02,26-05-2025 12:06,Cash
353,843,Withdrawal,2999.32,02-05-2025 08:07,Cash
354,692,Transfer,174532.43,16-10-2023 18:32,NEFT
355,516,Withdrawal,86906.32,18-09-2024 04:56,NEFT
356,416,Transfer,189255.85,31-03-2024 20:46,UPI
357,664,Withdrawal,196038.79,06-01-2024 16:22,UPI
358,366,Withdrawal,146721.91,20-05-2024 07:55,UPI
359,570,Withdrawal,106271.23,07-07-2025 15:54,Cash
360,532,Transfer,164276.14,12-07-2024 08:12,Cash
361,495,Withdrawal,48178.25,17-02-2025 07:24,UPI
362,509,Transfer,146384.08,17-08-2024 19:09,NEFT
363,145,Deposit,71745.3,16-05-2025 06:56,NEFT
364,374,Transfer,199790.44,08-11-2024 21:10,UPI
365,374,Withdrawal,133840.22,06-12-2024 23:40,NEFT
366,167,Transfer,91910.64,12-01-2025 16:50,UPI
367,798,Withdrawal,92805.75,03-08-2025 15:47,NEFT
368,781,Transfer,81131.54,03-10-2024 04:47,IMPS
369,678,Transfer,92912.73,15-02-2025 15:32,UPI
370,453,Transfer,14232.65,17-08-2025 01:54,IMPS
371,942,Transfer,6639.56,10-04-2024 06:12,Cash
372,987,Withdrawal,139641.19,02-01-2025 17:23,NEFT
373,1154,Transfer,16283.71,15-06-2025 06:38,IMPS
374,1175,Transfer,186455.43,14-06-2025 22:58,IMPS
375,98,Deposit,22282.21,04-03-2025 18:33,IMPS
376,884,Withdrawal,123864.78,09-11-2023 14:42,IMPS
377,1022,Withdrawal,35135.95,02-05-2025 08:58,UPI
378,1443,Transfer,141896.49,08-03-2024 04:30,NEFT
379,301,Deposit,196252.2,01-02-2025 12:37,NEFT
380,113,Transfer,22800.18,18-05-2025 17:06,Cash
381,1063,Transfer,187835.67,07-11-2023 10:36,NEFT
382,1442,Transfer,152201.09,13-04-2024 16:30,IMPS
383,760,Withdrawal,179596.81,05-06-2025 00:44,Cash
384,1136,Withdrawal,10986.55,18-03-2024 21:34,IMPS
385,604,Withdrawal,90536.89,26-10-2024 22:08,UPI
386,202,Withdrawal,141994.08,11-12-2023 15:49,IMPS
387,91,Withdrawal,124228.16,08-06-2025 16:26,UPI
388,610,Deposit,178391.45,18-09-2024 13:27,Cash
389,625,Deposit,16126.06,01-09-2024 16:26,NEFT
390,390,Withdrawal,191655.48,21-01-2025 01:29,UPI
391,72,Deposit,33036.77,29-12-2024 03:04,UPI
392,1139,Transfer,29676.01,06-08-2025 08:48,NEFT
393,1048,Deposit,104185.46,21-04-2025 10:34,UPI
394,101,Withdrawal,83365.68,16-10-2024 15:47,NEFT
395,646,Withdrawal,69405.38,18-09-2025 04:51,Cash
396,1398,Transfer,128972.42,25-12-2024 07:30,IMPS
397,1428,Deposit,12683.61,12-12-2024 12:25,NEFT
398,1452,Transfer,128969.94,12-01-2024 23:53,Cash
399,352,Transfer,68624.22,13-04-2024 22:50,IMPS
400,501,Withdrawal,118712.12,02-08-2024 21:13,Cash
401,171,Withdrawal,60886.06,08-07-2025 17:30,NEFT
402,191,Withdrawal,34430.25,12-12-2024 16:02,IMPS
403,294,Deposit,96900.2,27-01-2024 01:31,IMPS
404,1403,Deposit,29752.83,01-05-2024 10:25,IMPS
405,897,Withdrawal,191247.15,20-09-2024 22:51,NEFT
406,460,Transfer,107109.81,11-10-2023 11:27,NEFT
407,1352,Deposit,167882.4,30-04-2024 13:32,NEFT
408,1366,Deposit,47657.27,19-07-2025 06:53,UPI
409,182,Withdrawal,114947.58,06-11-2024 18:33,Cash
410,831,Withdrawal,73997.46,27-12-2023 06:43,NEFT
411,6,Transfer,141456.16,14-12-2023 21:46,IMPS
412,6,Withdrawal,29674.05,14-09-2025 18:41,Cash
413,1300,Transfer,195095.59,19-09-2025 06:53,IMPS
414,1298,Deposit,184094.75,05-03-2025 08:55,Cash
415,1452,Withdrawal,153726.78,19-02-2024 23:46,Cash
416,263,Withdrawal,31295.05,09-11-2023 02:31,IMPS
417,847,Transfer,141119.73,05-12-2023 13:22,Cash
418,1475,Withdrawal,193924.15,25-10-2024 13:09,NEFT
419,1007,Transfer,145735.9,20-08-2024 00:29,Cash
420,421,Withdrawal,137860.48,12-05-2025 12:04,Cash
421,399,Deposit,27970.72,05-05-2024 03:34,UPI
422,504,Withdrawal,5056.64,01-04-2024 11:26,NEFT
423,945,Withdrawal,71542.97,07-01-2024 16:31,IMPS
424,1106,Deposit,121669.43,03-04-2024 08:10,NEFT
425,1101,Transfer,105334.13,28-11-2023 04:09,IMPS
426,1157,Deposit,4607.47,17-06-2025 10:34,Cash
427,1203,Transfer,134344.4,16-04-2024 09:51,UPI
428,1355,Transfer,78945.28,09-09-2025 12:35,Cash
429,39,Withdrawal,120674.06,27-06-2024 15:13,UPI
430,775,Transfer,72276.87,12-03-2025 13:24,NEFT
431,1362,Transfer,170775.43,14-07-2024 11:25,IMPS
432,831,Withdrawal,74628.95,18-06-2025 14:53,IMPS
433,794,Withdrawal,70335.87,08-07-2024 18:01,Cash
434,835,Transfer,17610.97,08-12-2023 09:28,Cash
435,594,Transfer,198520.17,24-10-2024 08:12,Cash
436,1461,Withdrawal,32841.69,27-05-2025 12:33,Cash
437,553,Transfer,179296.12,29-12-2023 23:43,NEFT
438,342,Transfer,119627.35,31-01-2024 02:35,NEFT
439,802,Deposit,60715.9,18-09-2024 07:28,IMPS
440,429,Deposit,186637.28,05-07-2024 08:20,Cash
441,680,Deposit,1423.11,29-12-2024 00:45,IMPS
442,962,Withdrawal,35061.11,25-11-2023 19:02,Cash
443,526,Transfer,113626.47,21-08-2025 06:28,NEFT
444,147,Deposit,37282.68,19-06-2025 14:54,Cash
445,597,Withdrawal,110818,26-09-2024 18:54,UPI
446,967,Withdrawal,166933.58,07-11-2023 07:18,IMPS
447,958,Withdrawal,111900.28,10-10-2023 21:20,Cash
448,571,Deposit,5465.32,01-04-2024 23:55,UPI
449,472,Deposit,52609.14,21-04-2024 19:13,Cash
450,831,Deposit,130797.21,30-03-2024 02:59,IMPS
451,424,Withdrawal,35956.52,25-08-2025 22:10,NEFT
452,446,Deposit,23959,05-05-2025 14:38,IMPS
453,473,Withdrawal,198867.16,15-09-2024 15:40,UPI
454,1308,Transfer,149138.56,21-04-2024 11:28,Cash
455,568,Transfer,87270.1,24-02-2024 18:37,IMPS
456,187,Transfer,137213.98,12-04-2025 05:41,UPI
